,Clean_tweet,label
29103,"in queue with basket of food shopping, 50's guy says ""give us a smile"". think my response was a first by the look on his face.",1
26319,"""his"" dad ? did you just assume gender ?",1
31562,"not every ushers in lies, hate, , or the incineration of",1
5200,"ik right some other racist makes a meme &amp;they swear it's proof, what happened to a|",1
18747,not to sound but has her looks to fall back on unlike good luck 2 both,1
19165,no joke! i'm tired of acting like i'm by them leaving. also they're too to move to,1
826,".@user is it possible for you to speak in any topic without bringing race into it, you bigot? a|",1
24605,thats you,1
28877,need a black page3 girl to shut down page3 for as well as page3,1
20541,boys play sex womens,1
27313,... and &amp; . must keep the black president in check.,1
14381,i do d. my father had a great one and now my brother following him and yeah i married to this awesome gua|,1
2197,proves that small dicks make small minds,1
25667,paul beloy: is still an issue at varying levels in belgian football,1
22430,plz sign,1
405,when you're blocked by a troll because you promise to &amp; let his nonsensical rants boosa|,1
27536,vandalised in in condemns act,1
30189,"leave a 'gweh' below a! if in 2017, you will no longer debate about",1
22776,you might be a libtard if...,1
28530,is this the kind of tweet you want a company rep sending out?,1
4952,"2016 was the year white liberals realized how unjust, , and sexist america is",1
3257,"sad that there is so much hatred towards jews in eu &amp; xians in me. remember xians of kenya, nigeriaa|",1
25078,this guy is a racist full of ignorance and hatred.,1
14397,nothing would be more dangerous than to give the impression we accept,1
18232,intercourse video men and women japanese armpit hairly nude picture,1
23430,why weneed,1
31789,is one of a rare breed of that should be shot in the street and left pissing blood in the gutter.,1
29803,that's why d,1
19072,most recent criminal negligence by authorities in health &amp; detention staff caused death of &amp; .,1
14528,when they call us they are really saying thea|,1
24532,sea shepherd suppoers are racist!,1
1672,"bullshit, he was thrown out for being a muslim",1
28393,names for women best nude blonde teenagers,1
12835,just pre-ordered this. it sounds a really great book,1
10015,the cold war was fought over oil. a|,1
30829,"icymi yesterday - this is what one peh venue offers for nye enteainment ""some... hta|",1
5685,trumpas odd nye tweet to aenemiesa 'the odd man out' self serving,1
15641,riyadh is renowned for some of the deadliest traffic in the world. a| a|a|,1
10229,more evidence of the impoance of in the vote,1
29136,why can't women be defenders if they want?,1
12110,because i've been paying attention for the past year/8 years. he's a a|,1
2997,sea shepherd suppoers are racist!,1
1564,&amp; the keeps telling me that but i see &amp; every other,1
19495,prolapsed pussy and women,1
30249,"btw, was a . in adores him (without following him).",1
3415,.@user exemplifies the draining it thieves enablera|,1
1446,"do we need a different word altogether that defines ""/hatred against whites and/or men"", just to satisfy hateful ppl like her?",1
31318,perfect timing for this tweet!,1
28080,impoant message to all.,1
9873,it's not the job of those who are disadvantaged by white privilege to calmly educate white people aboua|,1
10359,good night sweet d on the 5th day of is which means purpose. our purpose in 2017 is to fight,1
23379,yes because apparently being qualified for a job is dependent upon your ethnicity,1
6246,"carl paladino, ally, wishes obama dead of mad cow disease in a17",1
19292,you would believe the accusations regarding your father,1
15562,athe biopolitics of desire and neo-nazi fashion iconsa,1
5392,typical lying thats slander of a grp! dont kill 4,1
4166,are a| &amp; feel like the are stomping on you? listen,1
4855,black professor makes assumptions about an entire race whilst speaking for entire race. next week the jews!,1
16905,ashamed that this person is a fellow d!d(c),1
3640,the lady said it's the juniors only area (it wasn't) &amp; i'd be ask to leave if someone complained. then her boss defended her,1
24458,you might be a libtard if...,1
22408,"what do u expect,#trump's father was a .that's why he won't denounce the kkk or racism.#facinghisa|",1
20294,the pros and cons of marrying an irishman omg! a sexist aicle on men &amp; can only add to ongoing,1
14835,when they call us they are really saying that they are jealous of us. when we go up they go down.,1
2638,if i could this 1000x i wud.,1
4675,it's not just lasses...,1
6727,two bots one girl,1
14715,why does the government allow behaviour?,1
19626,trump campaign official wants michelle obama to be alet loosea to live with african apes,1
5246,kevin macdonald: ethnocentrism is normal and rational,1
29263,can sniff out subtle &amp; the ignorant in a nano second even if it is an underlying flippant comment towards someone else..,1
28947,"stop legitimizing by using ""alt-right"" &amp; call them what they are: ""..from nazi doctrine, incl ultranationalism ...""",1
6392,. . denial.,1
13863,"hey guys, apparently white and black people are even for that whole slavery thing, so that's nice.",1
12112,empress regnant a distant prospect for japan despite gender equality law,1
11320,the white flight of derek black,1
8226,vandalised in in condemns act,1
25111,suppo these let's hope america wakes up to the plight of the,1
25008,your iconic brand being associated with the trump brand is tarnishing your reputation.,1
3687,"police, check cashing industry, atlanta and profiling black men:",1
16972,want a lesson in and imagine if had 5 kids by 3 different women and bragged about grabbing pussies,1
17937,a giant version of the of and flapping in on i-95n,1
15466,you might be a libtard if...,1
14325,"i'm constantly let down by the lack of fat male role models, especially in emojis.",1
15362,in injustice and inflame protests over ash: tya|,1
18352,police being horribly hyper-violent in their raids...,1
27747,"just got done threatening my coworker to give me money and he says ""black male is illegal"" smh",1
25196,...and your answer relates to d studying of groups because ..??? just don't think ur struggles relevant,1
22989,video men and womenmalayalam ameture porn video,1
14265,"&amp; joseon people in japan, will abuse the for claims of own rights by rough demo.",1
16268,'@user the amendment discussed here thanks ',1
14865,montana says no to racism,1
28616,this should have been enough 2 just say no ...,1
20828,"the ""monster law"" made by republican lawmakers that disenfranchised black voters ""with near surgical precision.a|",1
5445,in atlanta the mayor &amp; police force allow s to rule the city block roads &amp; freeways w/o action,1
443,fo woh officer in viral arrest video was arude not racista: chief,1
19779,ed op: not being 'a racist' isn't enough - here's why,1
264,offer no or solutions but create the same old repetitive,1
6164,is okay,1
11478,crazed woman 'launched sick attack on muslim cab driver over APS7 fare' |,1
16049,1. lmfao. no. non-white people can be and but is a 'system of oppressia|,1
8913,.@user are you seriously considering a performance at the inauguration of a,1
30579,aren't protesting because a won-they do so because trump has fuhered &amp;a|,1
5443,how will society overcome ? is it possible to end racism? it happens one person at a time.,1
29003,he's shown us over &amp; over who he is! him! a|,1
9558,!!! no-balls to 'own' his ... 'coward' !!! ///,1
14699,farmer beaten during a land invasion crisis a loteni area via,1
19949,a reson why so many muslims might be,1
8965,"when lauren duca says that looks like she smells like vanilla, she means white. rocks! a$?a$?a$?his tenacity",1
23911,the time got with me at d+-dd 1/4,1
24027,- special message for ! it's not your land either ..,1
7989,so is it offical that are officially in the eyes of the masses?,1
2110,what the heck this is so mean!!! please silence racism!,1
2695,"a tale of , &amp; for",1
5431,itas official: hate breeds hate,1
4139,will the alt-right promote a new kind of racist genetics?,1
1602,paul beloy: is still an issue at varying levels in belgian football,1
25560,ouch woow!,1
30181,"the *diversity officer* states (among other things) yet, because she's an ""ethnic minority woman""a|",1
19931,sexist slant in media representation of women 'needs to change',1
21317,in ad &amp;a|,1
11423,"sick of liberals thinking it's ok to dictate where they think israeli jews should be allowed to live, including in isra|",1
15116,'tis the season: co-chair makes 'gorilla' remark about -,1
18034,"shocker. funded causes no matter how r ok, but criticism of policies, is not ok.a|",1
5954,french try to &amp; indians in,1
31531,"thanks to racists + fascist it's now 280,- + sucks! a$?d",1
13343,a&amp;e to to push the producers,1
804,keep up the opposition to,1
12213,"*free sticker - ""stop sexism""*",1
3408,i wasn't aware facebook was a legislature.,1
26252,"""tackling systemic racism and our biases through empathy"" read:",1
3633,your comments are reflections of total ignorance and absolute,1
5736,so deep need2know. if clintons r eating brown bread drinkdark milka|,1
23752,official paladino makes crude remarks -,1
31926,a follow up from the gentlemen who were kicked off of airlines for simply speaking arabic,1
4054,nicola sturgeon sends her christmas message surrounded by white children. no brown kids for nationalist nicola.,1
18837,president jimmy caer leaving his religion due to,1
22216,not every trump suppoer is a racist but every racist is a trump suppoer. this an irrefutable truism. must never be tolerated.,1
20654,"we might be going to hell, but we're not surprised at",1
14554,multiple types of racism in america,1
31882,come on n wake the eff up usa! this is craziness. does it all stem from n hatred of ? it seems likea|,1
17525,vandalised in in condemns act,1
29080,fo woh pastors say officer's acts in viral video arrests were racist,1
15518,seems its escaped your attention that bashing whites isn't winning you any elections - over 1200 dem seats lost 08-a|,1
25559,"for some reason, the story on snapchat seems always geared towards women.",1
2968,why is 4 whores on ring of fire ?,1
14008,"i dare to speak for the rest of canada, b/c no one else dares, b/c of this massive racist bullying anyone gets fora|",1
2130,this is disgusting,1
21190,alabama victoria secret shoppers face racial discrimination (video) via,1
1251,decolonizing the curriculum: the only way through the process is together -,1
7813,"come in, =fraud &amp; documented lost base after calling them he's pivoa|",1
7449,"stones and humans are different, but to gravity thereas no difference.",1
2721,how is viewed by women! explained b,1
9654,read and understand how berniebros chose sanders over hillary,1
24765,i've no problem with that teach against . but it's wrong to teach that all are !,1
20887,vandalised in in condemns act,1
22937,"universityofwisconsinmadison offering course. if they're gonna be blatantly , why not? orgasmic.",1
1491,"in the age of information, the true ethnicity of biblical people has caused an overlap of anda|",1
13067,"anybody who says against men doesn't exist, hasn't tried to buy disney/looney toons-themed in men's sizes/cuts.",1
28500,why is ignored,1
12300,black trump suppoer smacks down cnn repoer for race baiting,1
13858,stop ating my fathers son,1
14920,nothing would be more dangerous than to give the impression we accept,1
22761,for perspective only: a refresher on and,1
31891,dr. frances cress welsing - racism defined,1
18493,are a| &amp; feel like the are stomping on you? listen,1
22094,"this obviously gets on &amp; maybe two seconds after boarding - thinks he ""knows"" whata|",1
20675,f*** this d|do government that deliberately toures we just had a coronial inquest into death &amp; busia|,1
5436,"that whole , too stupid,to realise that a young progressive country,is",1
24969,obama tells trump and the american people f**k you before he leaves (but you can't say anything ),1
17174,are you &amp; feel like the are stomping a| you? listen,1
8541,huh i wonder why?d- could it be that he's a well documented ?,1
7631,critics threaten boycotts of simon &amp; schuster over milo yiannopoulos book deal | the huffington post,1
2644,donkey proud of murdering real palestinian semitic children - thats what i call,1
9670,"d"" now, that's not nice! we're urging president-elect to denounce through his accta|",1
15924,nothing would be more dangerous than to give the impression we accept,1
21934,can't effo a logic point w/out or especially if that's wha|,1
544,that doesn't prevent you from being a and a,1
8639,university of wisconsin-madison won't cancel racially biased 'problem of whiteness' course,1
16227,= same from different color of skin but same &amp; =#dem,1
28801,i live in nyc and don't see a lot of ove racism. i was disappointed to see how much there is on twitter. must never be tolerated!,1
5124,your comments are reflections of ignorance and,1
22382,this motherfucker needs to be in acharles paladino's racist comments spark calls for resignationa,1
25431,"louisville, kentucky woman goes on rant at",1
15985,i know. ref. to &amp; is as ref. to . accepting,1
15974,are you .. feel like the are stomping on you? listen,1
31757,stop these chelski fans.,1
23135,why is only showing negative stuff??... i'm so confused.,1
2023,"""people of colour do not enjoy equality within the community;they are an excluded,marginalised group.""",1
1002,the latest the volatile daily! thanks to,1
26110,i despise this &amp; everything he stands for! trying to destroy the usaa|,1
10348,i feel triggered by your statement. me &amp; my strawberry blonde locks are going to our safe space.,1
24443,dumbest most video ever via,1
12361,thought factory: left-right polarisation! ~6,1
1108,"all happy for A"" family,but what i don't get is the incessant but thin veiled against other gay minorities?",1
23743,you might be a libtard if...,1
22567,"~ before enabled mp's to make statements. great alt-right work,",1
1317,this. unsatisfied with his has moved into nuclear terror in a newa|,1
31262,openly and total against graceless goodbye to america's first black president:,1
2923,how the uses &amp; insecurity to lure men into,1
8105,"hello there sweetie! d i will be glad to see you here i,d",1
30937,"you anti-whites brag about our ""inevitable brown future"" then scream """" when we oppose it. you're pushing",1
13254,"omg, what is up with the use of the word ""broad?"" and if people don't agree w/you, they're ""triggered?? a|",1
18156,a**hole extraordinaire. this guy is a hero of course wishes obama dea|,1
27133,"and stop crying ""bhakt bhakt"" when you are cornered with no rational answer to offer. trust me read a book! it willa|",1
26580,2:30pmet: uk youth parliament on &amp; . listen on our free app:,1
24570,arise sir mo farah. this is my country you hating chumps.,1
22166,in a nutshell.,1
5699,thought factory: bbc neutrality on right wing fascism &gt;4,1
30635,will not be kind to those who enable the and of and his emba|,1
25545,travelled for game sad and disappointed of fans the sad i can't cheer for my own team .,1
28900,i am not shopping at until they purge all trump products. who do they think canadians are?,1
56,lets fight against,1
19612,you mean this guy,1
12986,"thank you sara for the unforgettable response to and appalling comments by the heabroken ""doctor""a|",1
15329,"you're defending a woman against ""condescension"", who was in turn defending a woman that was verbally assailed in fa|",1
5510,trump campaign official wants michelle obama to be alet loosea to live with african apes,1
5047,her not working with trump should be a good thing,1
21649,marx's revolution occurredajust not how he expected it to. a| a|,1
8796,the latest the all in one news24 daily! thanks to,1
8070,"anyone who thinks asian fetishes are ""harmless"" needs to read this.",1
31404,if you don't like his that's one thing but why the ?? so dd 3/4 dd 3/4,1
19966,says a president elect that calls americans enemies,1
27858,nobdy wants 2 kiss,1
23136,this will absolutely piss you off.,1
27140,approx. 63 million voted for the but over 74 million voted against him. he has no mandate &amp; cona|,1
23750,had to screenshot &amp; share these snaps from it's an impoant message.,1
933,is not an racism is people based on race to justify or open against them.,1
1336,yay! except made comments so should we be suppoing her? if you say made homo-resistanta|,1
12585,trumps associates are a classy bunch.,1
11253,"white ""social justice warriors"" _ getting it wrong, again. via",1
24344,"&amp; joseon people in japan, will abuse the for claims of own rights by rough demo.",1
28921,your comments are reflections of ignorance and,1
23450,&amp; in 'revolution against racism: humanity',1
10305,adveisments naked fucking whores,1
21185,"there is no way, that this, this... man should be allowed to become attorney general.",1
9595,black women demonic porn,1
8568,"the odds of dying from extremist violence are roughly one in 400,000.",1
68,d(c)the white establishment can't have blk folx running around loving themselves and promoting our greatness,1
374,"the pic says otherwise for young girls confined in that kitchen. you are void of meaning, beyond cheap publicity",1
30057,nude teen play for women in spo,1
9179,vandalised in in condemns act,1
20277,video shows white texas cop arresting black mother who repoed assault on her son,1
18176,"""culture wars"" by other means",1
17016,this should have been enough 2 just say no a|,1
20283,why is comedy so ? because comedians are.,1
24178,sea shepherd suppoers are racist!,1
30032,are you &amp; a| like the are stomping on you? listen,1
27726,are a| &amp; feel like the are stomping on you? listen,1
3880,when the gets women have to encounter.,1
20092,in injustice and inflame protests over ash: tya|,1
14565,d own team up with &amp; show what &amp; combat,1
27256,"be careful using that term about and other -s - once you tweet it, they are almosta|",1
6996,"congrats, tucker, you came off exactly as you are.",1
7537,jews &gt;,1
24624,when they call us they are really saying they are jealous of us wa|,1
22320,the end of,1
6169,a look at the repug gop pay at,1
1717,you might be a libtard if...,1
20651,you might be a libtard if...,1
5102,"you don't think w will share guarani aquifer water w those who humiliated little brother,",1
1374,if you didn't like or you're definitely not going to like,1
526,anti racist is a codeword for antiwhite asia for the asians africa for the africans white countries for everyona|,1
28330,isn't it time we realized what we've done: read america's history!,1
8772,"suck it, haters! voters hate/fear this, voters love/know this. who is the ?",1
13237,"in the age of information, the true ethnicity of biblical people has caused an overlap of anda|",1
9246,"has your body, the bodies of your generations, been the sites of fear, repulsion, violent desire,hatred?",1
12840,heard clip. see quoted tweet. props to exposing those views out of &amp; challenginga|,1
4129,the latest the african american turmoil! thanks to,1
167,"you point one finger millions are pointed right back at you,",1
3572,"icymi: ""why 2016 was not a complete washout for anti-racism"" by",1
12763,"""rambling about: the alt right""",1
17137,pay porn free video jokes about women,1
5331,peace out fucku2016: 2017 wonat be better unless we loudly fight,1
1802,homegrown rightie white americans are 100 times more likely to harm you than a refugee.,1
30520,aren't protesting because a won-they do so because trump has fuhered &amp;a|,1
16522,why are white people when the rest of us are,1
31718,white girl has sex with black guy girls nackt video free online,1
2567,chick gets fucked videos of big asses havin sex,1
2929,pay has alway been the pay of before it was black inferior to whites. now whites are inferior to everybody,1
16810,donald - putin's butt buddy and a commie.,1
25578,vandalised in in condemns act,1
3456,your comments are reflections of ignorance and,1
1571,"get over it, the world keeps spinning .",1
18238,republican trump buddy who's rabid racist can't figure out what's wrong w/saying violently hateful things.,1
18245,wow in are worried bout and moving in if that was reversed it would be called,1
21205,are a| &amp; feel like the are stomping on you? listen,1
15859,that's why progressives r d most &amp; ppl of all. only self-hating lazy racists would la|,1
27638,i will not buy or dl a book in after their deal with,1
9373,"st. mark's cathedral: 'we will name racism, anti-semitism, xenophobia as sins' - komo news",1
24623,go take your anti meds,1
24650,hopefully you will stop funding the illegal state of and have them pay back $38billion,1
18416,not all westerners are islamophobes. a|,1
18119,black and brown women being intersectional means we see the bus before we get thrown under it. a|,1
26282,"dear media, when someone is born here, they are what you call ""australians"" even when they do shitty things.",1
25298,what if rapists got the same advice women do?,1
10768,are a| &amp; feel like the are stomping on you? listen,1
649,"""nigger?"" of a white kid who grew up in the 60's.",1
9894,: ally carl slammed for wish list for what a cockwomble,1
22051,"is quick to themselves over zille's comments as , but do noting about these black racists.a|",1
5169,"awe the peoplea originally meant awe the white, landholding males.a a|a|",1
1751,"no liberal believes that. we are the pay of inclusivity who believes in equality for all, anywhere. you are a traa|",1
30264,"that is why is systemic, rather than just humanity being human. it is power and reinforced each minute!",1
22632,"- keep going stupids, keep commenting - already a! 30,- donations for sucksa|",1
2155,you might be a libtard if...,1
30080,: pupil suing school district after alleged classroom incident,1
11266,this white crowd turned its back on an all-black basketball team at a high school game.,1
1247,if were white he'd still be the worst president ever and most likely the most president ever.,1
27593,excellent idea! dig deep &amp; hang 'em high! a|,1
8994,1.48 projection s,1
210,take out the america... - i voted against - i voted against - i voted against - i vota|,1
5850,d own team up with &amp; show what &amp; combat,1
20553,opinion: is rife in the community. people can't demand equality while discriminating themselves,1
28735,you might be a libtard if...,1
24009,uk 2016: where it fell to pop star to do the job of the,1
27244,just terming ppl as bhakt because they denounce terrorism and anti national acts shows ur sense to reason! never mia|,1
7415,muslims toured by officials dC/ .@user and her rula|,1
1244,what america owes now,1
25812,"when someone says 'i'm not a racist, but......'.",1
19732,homicides rose in most big cities this year - the wall street journal,1
19836,"u lose ur right 2 call others ""racist"" after a tweet like this. what a hypocrite.",1
18555,ohhhh. so people really do think that because you are in an relationship &amp;/or have you opt out of ?d(r),1
15583,every lactation consultant i've ever met has been a woman. hello? !,1
27403,office woman porn blue tube,1
13899,you might be a libtard if...,1
30489,"agreed.. the same is true for and .. they are overused terms, and as a result, are fast becomina|",1
5669,everyday life for a white south african.,1
6826,your comments are reflections of ignorance and c@user,1
12133,.@user &lt;--- no more feeding at the public trough piggy.,1
24455,how do you sleep at night? you are a terrible person! you sir represent everything wrong with our country. gfy,1
29670,black men and black women with stockholm syndrome,1
15325,i do not advocate a kumbaya world. like should motivate us to a single purpose: intellectual competitiveness,1
5116,peruvian women nds adult game,1
30537,he may be correct. i just can't pay attention to a .,1
15469,the revolution occurredajust not how marx expected it to. a|,1
18637,"terry bradshaw &amp; george karl: at very least insensitive remarks, at most racist. re: melo and mike tomlin. trump emboldened?",1
11245,says dumb people think they can smell ! lol,1
22010,would be the best thing he has done yet,1
15089,prison officers goaded inmates until they needed to be restrained as pa of a game,1
30293,has &amp; roots; kin to,1
22031,a&amp;e pulls controversial reality show about the kkk after learning producers paid hate-group members,1
3943,diisgusted by the perks offered to passengers of the same race as male crew members on flt 43. vs others who arnt same.,1
31742,you might be a libtard if...,1
13085,you might be a libtard if...,1
1400,pay of via,1
24024,despite a demoralizing 2016: may ur be / / -free and positive,1
6859,less more seems in end evil a hole wins george bailey=,1
24175,those replies. is dead tho. d,1
10006,champ gets $200k for beating who got $3 million is sophisticated,1
10273,"and being a ww, i feel culpable 4 deeply entrenched systemic that exists so i do all i can to dismantle",1
6332,"please don't forget to use the word ! that is what ""binds"" these men. we can never ignore or excuse thata|",1
5816,"evolution's got a serious public relations problem, even among the well-educated. we need to de-stigmatize the facta|",1
8875,why is it christmas eve? why not christmas adam?,1
21769,ever notice how much scum hires ?,1
7261,is the most hated women in america today! get your facts straight ! her and her,1
19557,girls in the world natt chanapa nu sex fuck,1
12230,what2inlieuof stop w/#hate. look inside you are,1
18206,rise up today is out! stories of police brutality from,1
16847,"don't miss this: miriam herschlag's blog: haim yavin, my ass via",1
30530,homicides rose in most big cities this year - the wall street journal,1
25514,who voted for are just scared little bullies whoa|,1
771,great aicle. right on the money!,1
20063,"after trump, is the media normalizing the | alternet",1
31899,the end of,1
17040,islam against racism - press tv,1
3019,the principal resigned! the politicians are corrupt. that means the judges are in...,1
14054,you might be a libtard if...,1
21442,(advanced value chain videos at ),1
28242,'@user the amendment discussed here thanks ',1
22254,wow! this is what blogging is about! ddd,1
5500,lehman brothers went belly-up in september 2008 a|,1
5439,.@user tragic 4 white americans that prompts so many 2 vote 4 candidates who will slash their owa|,1
8438,".@user just delete your account, shallow , and go away.",1
5492,we should not conflate islamic extremism with terrorism a|,1
19155,hot new release! swiftly sharpens the fang,1
25077,"what a world. if a man took a dive like that, people would say it was fixed. but b/c is a woman this is expected.",1
13584,"omg, these trump suppoers are deplorable!",1
4204,it's clear y'all had no good reason to hand the keys over to a goon. but yet...,1
15512,"racism won't cease. white priviledge must be beast. god, help us through this.",1
4211,again looks like a damned fool! for 50 years the usa has openly opposed settlement buliding by,1
10347,insane crazy racist white woman reaction! paranormal- insane free classifieds ads,1
28315,"runs his mouth endlessly like both have lost. and yet, ppl only take glee in her losing. perhaps?",1
5314,j.c penney employee holds customer in headlock wow and they havent responded!,1
28386,milo yiannopoulos.is a hate mongering . i'll never buy another book from nazi ss and tossing any i have in the bin,1
24930,you might be a libtard if...,1
27541,are you &amp; feel like the are stomping a| you? listen,1
15930,"""..a broader phenomenon: the reemergence of in intellectual discourse""",1
22000,on ya prince charles! - issued veiled warning over and return to 'dark days of 1930s',1
14506,"lisa likes cuckold write now! ai, aa",1
21757,"""green book"" ""sundown towns"", guide a reminder of that faced travellers under",1
2175,sea shepherd suppoers are racist!,1
22480,.@user don't let the and get you down; you are doing an incredible job as a journalist.,1
31272,goodbye 2016.... i definitely hope we leave behind,1
17749,hidden in is as rampant as blatant racism.,1
25290,racism stuffed into skinny jeans with a hipster comb-over is just as bad as racism shrouded in a white hood =,1
17067,obama/jarretts who agenda was to destroy everything good about this country and inflict even bit of hate,1
23299,how liberal institutionalized white supremacy,1
5642,can't wait to see u &amp; your admin hang for a|,1
23773,the left stops being so,1
23718,you might be a libtard if...,1
24176,will send you to the inauguration~ join today!!,1
27387,fine ill boycott it!,1
30932,is not a problem in america today. is. dumb is an equal oppounity killer of dreams.,1
31240,john terry just chose white christmas as his favourite christmas song on no surprise there.,1
4612,"""your people"" would have all died of scurvy their first winter if the first nations hadn't shown them a cute.a|",1
16876,factophobia ale with people in 2017 whose use following words:,1
29879,"awe the peoplea originally meant awe the white, landholding males.a a|",1
27257,what about black tea?,1
29010,excellent analysis &gt;&gt; this against is the real crisis in europe | apostolis fotiadis,1
23346,how the has made it impossible to challenge,1
21319,2017 will be a wonderful year if you're a craving an hand,1
21194,vandalised in in condemns act,1
17762,as if reel are letting girls in first and there's a massive queue for guys,1
14878,and the movement,1
26808,"thank you d santa d , for the best christmas present ever",1
11854,president jimmy caer leaving his religion due to,1
17705,the term jihad is a highly-contested concept. a|,1
10263,all lives matter.,1
30796,is this the real htta|,1
29398,yeah man fuck feminism,1
9533,reagan convinced ksa to flood the market and drive oil prices to historic lows.,1
29304,"you forgot: small hands, orange skin, weird hair, big teeth",1
8757,saying i am not racist is not a| protest and denounce,1
30148,"wife crashes her own funeral, horrifying her husband who had ordered her killed; community turns against her",1
2844,multiple types of racism in america,1
18875,"based on recent commercials from state farm and old navy, omarosa's choice is clearly .",1
23963,if you are pa of the 64.2 mil who rejected his business. &amp; must be stoppea|,1
23360,marx foretold that a revolution would one day sweep the globe a|,1
21621,everyone ask why they endorse such blatant,1
6998,those opposed to will let know our agenda,1
20983,&amp; in 'revolution against racism: humanity',1
27365,&amp; any other stupid lib word,1
10295,'cept she plays a celtic woman. celtic symbols and accent etc. but because she's bald character ppl assume she's a man.,1
19573,are a| &amp; feel like the are stomping on you? listen,1
19524,vandalised in in condemns act,1
24123,your comments are reflections of ignorance and . =,1
28451,in uk's increased because gb have impo from infidel for backhanders,1
1411,shot inside a pussy office woman,1
4435,who the hell is juan to decide if kellyann can raise her kids and work? we've been doing it for years! can't standa|,1
19056,"sad that there is so much hatred towards jews in eu &amp; xians in me. remember xians of kenya, nigeriaa|",1
8896,take that painting down asshole! fucking chump,1
16714,thoughts on female fighters 'dolled up' in promotions?,1
20977,ya he is a real winner,1
6613,shot to racism.,1
14817,is still rooted in our society's attitude towards black women's hair. read more from candide uyanze:a|,1
